LOCATION_ID,SESSION_ID,STREET_NAME,STREET_NUMBER,COMPLEMENT,POSTAL_CODE,CITY,STATE,COUNTRY
2b7ef8a7-de57-4c60-b737-247b14e85ff4,969dbb85-f6d3-46b7-8ed4-00a0fec5dc64,Rua Jaziel Hilton Buarque de Souza,664,Casa 5,65817115,Osasco,Sao Paulo,Brasil
f38e9fe7-7df2-420d-a337-17487efbae6b,896096f4-472a-40ea-bca7-5b1b31eb41f6,Avenida Adônis Bóris de Moreira Terceiro,312,Casa 6,82157609,Osasco,Sao Paulo,Brasil
d1cd76bf-a225-49e1-b6dd-72262861c88e,bb461349-662c-47b0-bae9-e2944b044ff1,Travessa Lena Wanda Tigilman de Toledo,568,Casa 6,17519442,Guarulhos,Sao Paulo,Brasil
96612282-2925-47ce-8916-433f036819db,c4c4439c-89ec-467e-beb8-81735019ceb2,Rua Ingrid Bavo de Oliva,93,Casa 5,51809384,Sao Paulo,Sao Paulo,Brasil
6d0d5441-a143-4dff-9b38-9a936a98da3b,77758cd7-3551-4494-9c76-4ef645da3998,Travessa Fábio Jonathan Casalpene de Souza,896,Casa 3,65965678,Osasco,Sao Paulo,Brasil
cd4d6582-c19d-42b3-828a-1772b251fd3c,79ad10d7-f724-45f7-8fb1-596e8eb5a02d,Travessa Zuleide Vívian Marinho de Vargas,734,Casa 9,25719435,Guarulhos,Sao Paulo,Brasil
33609da3-9799-4f5c-a012-a026b4302793,c54f58de-7725-4f25-845a-f7d780338088,Rua Olga Mayara de Oliveira,708,Casa 7,26421648,Sao Paulo,Sao Paulo,Brasil
ba2c9b79-d98f-4e26-899d-026d660345c3,39943c5c-c337-4f0b-9d1c-ef2edf417f37,Rua Marlon Leandro de Gusmão,711,Apartamento 4,98355133,Guarulhos,Sao Paulo,Brasil
1dc93124-5e96-40de-bead-1a36dd9a9649,4bbe22b5-3fd4-4d3d-ad1e-2a2b6120683c,Avenida Gigi de Oliveira da Mata,410,Apartamento 2,40010648,Osasco,Sao Paulo,Brasil
cb7304a1-a2b9-4c70-9599-19373169db08,f55c89cd-c7a0-430e-8e0d-f8a2b1ace219,Travessa Renata Anne de Cerqueira,36,Casa 1,40052331,Osasco,Sao Paulo,Brasil
979f61c5-98fb-44de-b430-df7f72352232,67617315-2189-4db0-998d-2ef63d5da6db,Travessa Jandira Gomes,245,Casa 2,33155798,Guarulhos,Sao Paulo,Brasil
f48e7e5e-323b-47dd-97ee-a446c9bf570b,ce0ef918-d7c9-4e3d-81c6-dd8d878e7eca,Avenida Samila Mirela Afian da Silva,793,Casa 10,18963785,Guarulhos,Sao Paulo,Brasil
5a5b62b2-b5c5-44e0-b82b-740ef8e0777f,3f857230-493f-40d3-bff2-9a99958b13db,Avenida Hélio Tere Barroso,351,Apartamento 4,35983842,Guarulhos,Sao Paulo,Brasil
b0fb57ac-d2e7-4c6a-9271-81c00f3c2f4c,f714d3bb-72e7-488f-89cd-121759143471,Rua Max Moacyr Penedo de Lemos Júnior,280,Apartamento 10,99793182,Osasco,Sao Paulo,Brasil
1ee25fb9-1b49-4b0c-bf0f-a5fb136fade2,09558bc5-3e55-447c-b48e-19e339d5c7ce,Rua Ana Tânia dos Santos,989,Apartamento 8,12003513,Sao Paulo,Sao Paulo,Brasil
07f512ad-4857-4985-a239-31dfe1eaa37c,5bd49e31-d298-4f26-a81b-d6187bbf8738,Avenida Kelly Lernliman Hegoma,923,Casa 9,43661193,Osasco,Sao Paulo,Brasil
2cf7e2e0-d3db-44b0-8302-082bf4dd2c69,a4ce98a8-2c56-45bb-bcf6-ac4e041e799c,Rua Emanoel Álvaro Branco Tedroan,783,Casa 3,14546039,Guarulhos,Sao Paulo,Brasil
03577813-4354-4882-a99f-1baa34668fec,13c9fa72-8e2d-47b1-b7a9-4573877b5137,Travessa Arnaldo Ivan Bimozu,287,Casa 2,29523563,Sao Paulo,Sao Paulo,Brasil
31360608-bf6b-4597-91be-c3925bb6255d,fe74e1be-6536-4d44-9623-647ef1205e01,Avenida Gigi de Freitas,96,Casa 6,24653641,Sao Paulo,Sao Paulo,Brasil
7f6137ce-ec67-4651-9488-306015530116,f93aa495-be1a-4196-be03-5a7c88fd6092,Travessa Karl Artur da Silva Fekomdam,803,Casa 10,17747896,Sao Paulo,Sao Paulo,Brasil
62b90787-3983-4209-826d-1d7864d3cb45,de2fe69b-79fd-48fd-8cbd-820be72d4e73,Travessa Simone Tsuho da Cunha,672,Apartamento 3,86056164,Sao Paulo,Sao Paulo,Brasil
cfc0bb6d-9cc4-4ab9-9d97-5e5525c43972,66c99a0e-d2c8-4198-9d69-c0dc46be2070,Travessa Hellen de Muniz Roes,616,Apartamento 2,15415619,Sao Paulo,Sao Paulo,Brasil
70ac8fc2-639c-4bf5-9c63-f4daea1ff183,5661f652-ca12-46f9-84ec-a23ef18f502f,Travessa Ísis Ouga,790,Casa 2,46449391,Sao Paulo,Sao Paulo,Brasil
91c93a26-5136-4b51-9db1-171bfef2a444,1506f88c-2c9c-466a-92ad-9ae08e29a7af,Travessa Gustavo Jardim de Gusmões,366,Apartamento 6,80065114,Osasco,Sao Paulo,Brasil
3f0de58b-0a60-4a8b-9b42-2e28c6e1950f,ecbe05d6-f96f-48f0-975a-d100e605e21e,Travessa Clotilde Rafaela Fontes,581,Casa 3,40330293,Osasco,Sao Paulo,Brasil
c9cc9c8c-c46b-4e98-ae4c-8727e16c0601,93cbc0a5-f3ba-49ee-8ac1-9a49195bea27,Rua Cléber Leopoldo de Melo Júnior,553,Casa 7,39862001,Guarulhos,Sao Paulo,Brasil
081ee535-203d-4c05-9cf2-dee4a4eecb4a,1c4c3073-8b8b-48d6-b6d3-1b7e6af89d9a,Avenida Fátima Celeste de Souza da Silva,294,Casa 9,91015237,Guarulhos,Sao Paulo,Brasil
86ed5120-1b8d-4e67-ae54-13c395cc6c19,9bf6bb6a-0228-4733-a5b2-f8d2f0b01886,Travessa Karina Rossi,504,Apartamento 10,19154211,Guarulhos,Sao Paulo,Brasil
1740ac98-4597-4839-8a0b-8163d9666149,174e6b53-cdba-4957-b3b1-30c23a7fc580,Travessa Luke Edinaldo Ogri Roevic,969,Casa 6,75815794,Guarulhos,Sao Paulo,Brasil
6d3b9713-9d04-47e3-9e53-554c29a3f602,8738a822-02b3-41a2-afbf-765f621356b0,Rua Xavier Cristiano de Machado Liurnirny,280,Apartamento 6,42819296,Guarulhos,Sao Paulo,Brasil
9eab5007-2cca-493f-821e-8d178bad289c,3f56c836-378f-4171-8815-ce47b2a9f047,Rua Marciano Asorn,960,Apartamento 9,65575547,Guarulhos,Sao Paulo,Brasil
391bdbba-95f8-4bed-b125-ba40562bb62e,3068d7be-8ae3-4e98-b0e6-dacb58bcdbd2,Avenida Ana Lena Harochipe Souto,221,Casa 4,70736321,Guarulhos,Sao Paulo,Brasil
28c72e1f-fee4-4229-851f-e7c847bde7da,215c082c-6c81-4886-94ab-8fa03a7b8c17,Avenida Walderice Raquel de Braga,806,Casa 8,33708454,Guarulhos,Sao Paulo,Brasil
30790cf4-a7e1-4393-9faf-032e4a1487b0,ce864b7a-1e8f-46ac-8b70-4fa409421bc2,Travessa Eduardo da Silva Herrera,689,Apartamento 3,13651432,Osasco,Sao Paulo,Brasil
5601ad5c-8c59-435a-a0fc-973f9fc2fcb8,ecbe1fb6-08cf-4a98-9d22-9f3263358cf5,Travessa Fabiana Camila de Cabral Cios,297,Casa 6,20442482,Guarulhos,Sao Paulo,Brasil
0caee9b9-7079-497c-b2f8-13cb3aa8c08e,09644e90-83d4-4c92-95b1-3afb965fa9ee,Avenida Maria Thaís Estrada,651,Apartamento 1,97870482,Guarulhos,Sao Paulo,Brasil
3394b0c7-a925-450d-9ead-6b28d723742a,b573a579-8919-4fc8-a4e3-d1ffc0ed2605,Travessa Bete Júlia Negrão,630,Casa 5,97065180,Guarulhos,Sao Paulo,Brasil
2a71c356-43d6-418e-93f9-082734c9a97c,5b4401c2-5644-421d-9ddd-7e5988969791,Rua Ezequiel Hingo Coutinho,704,Casa 6,30203718,Sao Paulo,Sao Paulo,Brasil
28cb3999-bd6b-48f5-8ebf-d82da8cfad80,b694e96d-9d93-4d54-9a77-2d41d9b125a2,Rua Reginaldo Shaytho Dadecrues Vriazson,637,Casa 7,59570399,Sao Paulo,Sao Paulo,Brasil
a7e340a4-1ce6-4d3a-a844-b4449bfcf35d,2327fd5d-5140-45a9-ab10-d263f60ba450,Rua Suely de Souza,632,Casa 9,93763427,Guarulhos,Sao Paulo,Brasil
00fc0567-a4da-4c3d-982d-94acac9ea605,434459e8-c403-41e2-911b-11d35216e6b3,Avenida Hildebrando Rodrigues,769,Apartamento 9,39001915,Sao Paulo,Sao Paulo,Brasil
707acabc-03ab-4edc-a250-cab7c8e88d6b,67a4ac7a-9f7c-4fde-996f-0eddcd210477,Avenida Roseli Regina Asen de Souza,450,Apartamento 10,17478587,Osasco,Sao Paulo,Brasil
8331257b-292d-4400-a114-31c1c0f4831b,23125408-7941-49c0-8adb-7449ca33951e,Avenida Tainara Rosana Paim,842,Casa 1,63825082,Osasco,Sao Paulo,Brasil
cd712ea6-db31-45b7-a375-26124d5be1c4,27541cab-9df6-43e7-838a-ff68de9afbc1,Rua Alana Cluosfro de Cardozo da Cunha,665,Casa 4,82824706,Sao Paulo,Sao Paulo,Brasil
02d6f5fa-af00-4a00-9a02-de4dd60e4b3e,9b849f3b-05a0-4a68-a520-f1f23cb52c40,Avenida Tânia Margarete de Freitas,295,Apartamento 8,60374096,Osasco,Sao Paulo,Brasil
6696649c-f52f-4452-8395-9f8f100c2dfc,aef503b5-8c72-487b-9ff2-c21db2231e66,Rua Sílvio Sebastião da Cunha de Sampaio,413,Casa 7,19995820,Osasco,Sao Paulo,Brasil
b9869687-1849-4e4d-b0db-0201c3872c02,7ab144a9-d700-4616-bbe4-1382e35d9df9,Rua Avelino Sílvio de Pereira da Silva,824,Apartamento 5,47104246,Osasco,Sao Paulo,Brasil
29100db3-e22b-4dec-addb-24041b9afd90,56384acb-6b39-401d-966e-09c052e9a015,Avenida Catarina do Nascimento Barroso,203,Casa 1,97844901,Guarulhos,Sao Paulo,Brasil
2999270a-14da-48f8-bcdd-2efed686bbff,6e5175cf-3f1a-48fd-9c80-50e99e054834,Rua Mateus Nicolau de Pereira Júnior,895,Apartamento 9,32250959,Osasco,Sao Paulo,Brasil
f4d9abe6-efca-4898-8222-9450c642913b,243f21de-10d2-4caa-b903-901d24c9ccdd,Travessa Fred Rosa Uskome,952,Apartamento 7,78688573,Osasco,Sao Paulo,Brasil
fb3513a1-d664-40ed-919f-f199bb3212dd,776a31f5-67fc-497c-8501-c4841ac87d6c,Travessa Olímpia Verônica Uzxo Grebi,504,Casa 1,60385411,Guarulhos,Sao Paulo,Brasil
79cb6060-34a5-49a3-8840-be64d344bb16,950bdb46-830b-4970-a6fc-6a29349a06a7,Rua Edson João Herrera Fortes,544,Casa 3,54126062,Guarulhos,Sao Paulo,Brasil
ca740455-7f60-4759-a361-92ca96e62ad7,1da353df-6517-4f1c-b675-45f4c4da7090,Rua Ana Jardim,49,Casa 8,26594978,Guarulhos,Sao Paulo,Brasil
89ec0c18-e55b-4ae5-97d5-7c339681da31,ec96ca9e-f110-47f7-9dde-534eca86ff52,Travessa Maíra Góis,336,Casa 10,19859256,Guarulhos,Sao Paulo,Brasil
96a1399f-67cc-4093-9b6f-455714610f45,6aa45a75-0aa7-4e58-b8b0-12e671a4f729,Avenida Ali Espada de Lins do Maranhão,845,Apartamento 4,94946007,Guarulhos,Sao Paulo,Brasil
56e286ce-01fc-47b0-bb6c-ef171c9b8cb0,70ab099a-415e-40b3-995f-6f2ecec79282,Rua Janaína Gane dos Pinhais,866,Apartamento 7,95820587,Guarulhos,Sao Paulo,Brasil
905cf061-baee-40fd-8af1-7ac17b6aeade,d056fb70-a582-45c4-91f6-e3a02983644f,Avenida Inácio Jeferson de Rezende,865,Casa 3,73164548,Sao Paulo,Sao Paulo,Brasil
a32bf2dd-049a-4e32-813c-293bc852d807,d8c33002-6716-470f-8e0c-9147fec9a977,Avenida Adônis do Vale,748,Casa 7,22927059,Sao Paulo,Sao Paulo,Brasil
62fef442-8112-4f15-a7da-15be8e1609de,259fca49-1bf3-4859-9f20-64810129e2b3,Rua Caio Gantrenã,100,Casa 8,68310767,Sao Paulo,Sao Paulo,Brasil
61cfe6d0-0e82-4fed-a5ec-a0c2f2c36704,8241046c-b48e-46ba-a55a-9a126d9aaa98,Avenida Humberto de Oliveira Lumiuman Júnior,243,Casa 5,87809551,Osasco,Sao Paulo,Brasil
a8fded24-4753-496e-9b5d-809c058317be,350e0a36-6548-4fde-abb4-f75161329b0e,Avenida Jenny Ibe,609,Apartamento 4,18704174,Guarulhos,Sao Paulo,Brasil
