PAYMENT_ID,CART_ID,PAYMENT_TYPE,CARD_NUMBER,EXPIRATION_DATE,CVV,APPROVED_PAYMENT
98bb7513-6706-41f6-b479-7d93c125f706,4067b38b-57bd-4368-b173-4d0d2674e1a5,DEBIT_CARD,7074686196377321,8/2025,972,1
b43ed52c-2019-4861-945a-5f5d1993474f,e2ddd285-7fe4-440a-8614-10da40ebcc9b,CREDIT_CARD,7288099765789443,8/2025,403,0
b85266cf-ac7b-47ba-b638-0ae4bc1b4695,b8860827-d55b-45cc-a2d6-86ead44e2d8e,VOUCHER,7755172244075168,12/2025,623,1
163d7f3a-b008-4a65-bf42-47b0801f6752,a798b8cb-2fe5-42e4-b44c-907c16380eef,CREDIT_CARD,7461836237080647,3/2025,898,1
fd42e7be-1501-44fc-b205-bb3f76eccad9,a4a0c596-ef84-4637-b920-c9c364cfa5f7,DEBIT_CARD,2552292875643642,11/2025,330,1
279e6788-d3f1-4099-9292-760a53e5518f,7e9a36f5-ab9c-4c9c-92e6-c8e81257747e,CREDIT_CARD,6136652443998533,12/2025,356,1
03fee0a6-2202-484d-8245-64820b18fc54,0462e4e0-a34a-499e-9b40-4b109a2f6a21,CREDIT_CARD,6702703909693905,4/2025,170,1
2ceacbbf-f40a-4df7-918c-0290b91ac00b,21593288-d5c1-4ff1-82ef-19ac805f2f30,CREDIT_CARD,9546064150717309,4/2025,491,0
99524321-067e-4a56-bf7f-78d0372bedf7,c5ed54fc-a238-40fb-9b6d-a076d18f7e43,CREDIT_CARD,6213024729101569,7/2025,423,1
2fb8c989-a883-4fd7-a77f-b56047a67476,9da7b5d3-d87d-4580-94e8-318754d95ef6,VOUCHER,8998295239177053,4/2025,590,1
eae9016c-858a-46a7-bd8e-a96c31ced6cc,c39e9750-243a-4422-bf8a-ca3e0d724e2c,CREDIT_CARD,1456561242023785,8/2025,102,1
65da9388-3665-4341-8eda-dd4ee4c4801b,068cc1c4-72ad-4abb-92e2-44e1a75b2c86,DEBIT_CARD,9745039175486996,1/2025,599,1
18431c9f-bd97-4e83-84b1-f6ab2f45f632,dd9bdf31-9752-4473-a344-34f1c4518f27,DEBIT_CARD,7987352377568252,7/2025,208,1
f5a8face-11e2-4e3c-ab44-b89ce061be3f,d496af31-d514-4fa9-83bc-09ddc0fe5fa7,DEBIT_CARD,8034919641254883,7/2025,387,1
afe4fef7-77a1-4407-9095-0d180a9a4f26,d62337da-38f1-4616-b601-ed79acdaeaf5,CREDIT_CARD,4151563897804496,9/2025,569,1
20b21ccc-f110-47e8-909b-37b4ecf1976f,59205be3-a9fc-4843-af95-9e3bdda2983d,DEBIT_CARD,2153337473861923,7/2025,935,1
7137c297-ebee-48ef-a3d7-3291488666af,b6da6cdc-1524-4f38-b373-221e7e21739a,VOUCHER,8203811507883988,12/2025,915,1
c5f16c7d-995a-411f-a58b-a09369dcf192,3d400ca5-10a4-4f7e-a2b7-13aa6bab29d1,VOUCHER,5412990846233169,5/2025,252,1
60ab8c0d-6ce8-4208-b88d-ef4f6813a09a,f3ebfc4f-de15-4fc8-8d67-fcbfa2f94965,CREDIT_CARD,1445563139175130,12/2025,247,1
0477d082-17ca-458b-8675-5ef2c026e9c6,f49cc707-a133-49e3-88af-397e2bdc0b71,DEBIT_CARD,2247564413805023,9/2025,311,1
1f8d7464-2762-4eea-beca-4260ffe550a4,c5329250-69c5-4e6e-89da-7702e4458c6b,VOUCHER,4319817015859967,8/2025,745,1
b72394f0-487c-4dee-892b-069f3e69bc1b,7fbd1d95-8e11-4145-9c86-d0045a7cb1cd,CREDIT_CARD,4554919296550094,6/2025,186,0
202a4db8-4665-4226-bf14-eee3c0d7fde3,29604646-51e6-4b8b-8c4b-86c02ea367f4,DEBIT_CARD,8606844974091083,6/2025,610,1
c7b94839-b44f-4396-81d3-8eb832121a65,e6e2dcac-a907-4820-b8e7-df65b869ccaf,VOUCHER,7160836785371181,1/2025,199,1
f19e1600-5909-41d9-a4c6-3411ea3d4946,21c341d2-ea80-4430-9a56-a70159e32833,CREDIT_CARD,4628495988919531,3/2025,239,1
5d6dc018-cc1d-45c9-aac6-544c6714bf64,f03adecc-a492-4705-a7b4-9a5bae3dfb78,VOUCHER,7343911664736669,3/2025,803,1
b08635bb-eb59-44ac-8141-500de31e243b,f3efba99-8764-46a8-b914-dbffbeeadb49,DEBIT_CARD,6770895770324438,11/2025,613,1
50b864f7-c5df-48a6-9f56-312b5c6c8b97,69ed0918-9316-4220-ab0b-9945f038b156,CREDIT_CARD,2509585410194018,5/2025,634,1
daec2d23-6479-4d83-8a24-7a63eb7faf7f,fe34ff4c-8334-4ef3-84f8-bbc12a8d1d41,DEBIT_CARD,2858612449607161,8/2025,377,1
e0cc0db9-bc5e-457c-83cc-e2099507b07b,124efcdf-106d-4e8b-9ca0-d6e1f67491b8,VOUCHER,6884504652449747,10/2025,123,1
5a310ab6-2b5d-4d5a-a639-ae73729db56f,1e81d565-1092-4643-baaa-d6a7fc3cc50a,CREDIT_CARD,2872989715240705,7/2025,830,0
bb4cdd13-fb73-4a06-9bc6-49c6a799322f,13f6f489-2936-4c9c-862e-45dbb273e861,DEBIT_CARD,1084558635897006,1/2025,538,0
e9f03db3-b75f-4476-9280-f68264ba513c,c36dd20c-b9f0-4b8d-a3ea-53b07684e332,CREDIT_CARD,9742507401451793,12/2025,816,0
a2faad44-ff9e-43d4-b721-4aa08b44ee26,e1fb183e-f4ba-445e-8997-5e277a8daad1,CREDIT_CARD,4724630386510468,9/2025,587,1
6410ed9c-c989-4a6b-b427-5829cd5dc66f,468bac8d-85e8-44aa-9450-302d54cf1d2b,CREDIT_CARD,4088146358642306,2/2025,922,1
533effa7-25bd-40e0-b0a9-3a2ca3c1efe8,bd9e7be9-ae61-4a79-8fea-0560c3c088a9,DEBIT_CARD,8555138731937248,6/2025,887,1
c621253b-b0fc-42a0-ac9b-0d460a52f6fe,3d9d692a-5d19-4a3f-aa2f-3193f091ab08,DEBIT_CARD,4838572015379834,8/2025,413,0
d91c67c2-f66a-4f2c-9576-09ed88a72980,171a25fd-2eda-4751-8447-c5e8cdc06bdf,CREDIT_CARD,9934438436893085,4/2025,607,1
31b24fe7-a1c4-4411-b488-8e0a996d51f1,19cf2d42-6d34-473b-9411-d16e4e3cf8d3,VOUCHER,5703725546150600,3/2025,425,1
7c4bfe02-2bb3-4d9e-af40-a3716cffc4b7,e3f50630-642a-476a-aa72-45c33f3b2ee2,VOUCHER,3560026641367275,7/2025,436,1
9849a9aa-3d2a-43ba-8f61-d43508739387,9f685106-d25a-4c78-a9bc-bb9f08033c44,VOUCHER,7084244909543327,6/2025,231,1
975da939-653f-4e3d-a181-65a1c10d38f0,7e2aaa11-83ba-4a35-ae3d-8d9a26ca612d,DEBIT_CARD,5195732563236417,12/2025,878,1
35826e36-1ed8-4996-a2cd-c7e683cdc592,2750dd11-f15b-4d2e-9228-7574d69e9ae1,VOUCHER,2661740120139517,9/2025,849,1
eb7e4463-7c86-4dd3-af49-a385210ccc9b,016b45f7-bf03-4840-a1a0-d80666848ee7,DEBIT_CARD,9086442232291106,8/2025,787,1
4e802bdd-867a-4cc4-ba49-299a7b59b90f,94ba9bea-cc7a-43b3-8403-3e882fb056b8,DEBIT_CARD,5584304402125070,3/2025,906,1
fce0d0fc-507d-4bb3-845d-ba9e97b7f15b,4e7cf77e-463a-4d2d-99f1-4bfa9332f881,VOUCHER,2261607311402609,1/2025,277,1
dad91905-9e64-477a-a632-d7e17af0bc89,2f5cb635-369f-49c8-8644-cd376faf48ae,CREDIT_CARD,6177090059582097,9/2025,106,1
6fd8ae26-459e-4aee-bbea-995e922fdc25,a3e98315-5783-4581-9f7f-f2a8bea82b79,VOUCHER,9773746878070736,10/2025,477,1
f5fc5961-2cc3-4173-b946-eb5fbb2637ce,8924d7e1-5c6b-4afb-87dc-b0b6ae972064,VOUCHER,7276111095108219,4/2025,632,1
524e4728-1321-47ea-9dc5-af9a769b7334,86cad03a-737d-421f-8403-3977b2a79820,VOUCHER,3528858245648528,6/2025,297,1
bb4660d3-0431-4d3b-a3ee-e1cfb092cd12,cd4eb25f-3645-431f-8d1d-62c4af4db50d,CREDIT_CARD,9988263686991741,12/2025,562,1
e98161d1-17b1-4176-92d0-cc3f9a727701,a9c463c7-e5ba-454a-a1b5-46a0ee336d5f,VOUCHER,8299930385884501,10/2025,608,1
c98f3e28-4b5f-4677-a6a5-5fcec8d58c35,655f7290-a47b-4c67-921e-d3daad64dbd0,DEBIT_CARD,7149102172536658,4/2025,986,1
a1ec340c-3617-4f9f-9e25-59513c14f23c,42fa2772-5452-4ee7-a91e-243f475a9ff5,DEBIT_CARD,3758674664874345,2/2025,295,1
66a59839-aae2-461b-91c4-035347fba092,473bd86a-5253-4b0e-90f2-b8ae754a6dd1,VOUCHER,7022342316509515,7/2025,541,1
e52079f6-dd3b-487a-a6c6-1dd5f1c8d3aa,e4d5768c-4f27-4410-8ee7-756adb944eb8,CREDIT_CARD,1581149141647606,6/2025,247,1
317e3d75-990f-4b50-9dd7-9c48292ef5a3,a2983a01-b1cf-4362-ac09-244901c042b3,VOUCHER,2258803570097275,2/2025,808,1
15a55ff3-7fb6-4994-ab93-c770fc1909a9,49431f71-a880-4238-97ee-e1c15c583d37,DEBIT_CARD,5638878948212565,5/2025,325,1
52ab9976-1bd5-484d-ad26-971fe242cfc9,b42c83ce-f8ef-4ed0-b481-b9d8b77651ee,VOUCHER,1584917773255405,8/2025,597,1
324900a2-65ae-4177-949b-8888010cc16c,b2ee7c26-a8a4-4864-bf5d-eb286de15bef,DEBIT_CARD,8733086453950858,8/2025,104,1
a0a6f398-fecd-499c-be8f-d2e3a27b9f4d,193c6d27-971e-4c90-b1e0-a4b14fae9c67,VOUCHER,7053346384430464,10/2025,474,1
c2bcdcc1-f073-4ead-adf6-51378a36ab14,682c7fe4-5952-4e6f-8c6f-19436011b138,DEBIT_CARD,9276672665689518,7/2025,803,1
309cdac6-aeb0-4023-b736-130dace3425b,8b576d57-181a-452f-90bd-b4df3072f2b7,DEBIT_CARD,1766218841904065,7/2025,944,1
e9fc6806-9a7c-4baf-bee9-a6202ad2d652,580115e0-6a86-400b-9bf2-257f41162bd5,DEBIT_CARD,8777910951995156,5/2025,585,1
4ee7c75d-335c-4a0b-89d8-506a0b59cbb2,95b5ffb1-fba8-437a-bd8d-3739d80f27a1,CREDIT_CARD,7775841103102828,10/2025,981,1
2fcaf899-71e8-4a10-946e-b269c6f72197,09aa1f35-ba43-42de-b4fe-5e1376aabdd4,CREDIT_CARD,6194983889932930,3/2025,671,1
eb972a00-a6f8-47dd-aff4-1756b98c979f,39d7b6f0-b301-4dc5-a65e-6ffbe2152f10,VOUCHER,4728856486096614,9/2025,472,1
c0e68d7b-509a-47f6-9660-25deb46649c2,833c7e60-a235-4424-99ba-8757abee1a0a,VOUCHER,1544298344482144,7/2025,670,1
170b4157-3dda-4d7b-a6f5-31e2543d1ece,782ef314-0133-4d95-b493-3208b79805e0,CREDIT_CARD,9753990905043935,2/2025,475,1
5da0223f-ec3c-40fe-bdca-289277c91cd4,a5ef1818-9d6e-4096-9a20-10a9903070a0,VOUCHER,9927987633564977,1/2025,696,1
0624fadc-afcd-461c-94fd-857585012ec7,401be90c-bd7a-4e41-abcd-dadd7030fcc6,VOUCHER,9368326947716753,8/2025,799,0
62b99c91-56cf-4923-bc19-d71ff5d4f959,ad2561bd-02b5-4654-8595-afc78212b5bd,CREDIT_CARD,1270371570149756,9/2025,557,1
572d896e-b92d-44c3-9b80-c1320e8f73ec,b1538fc2-fe56-4803-bd81-db892b71e077,DEBIT_CARD,1648638816241013,6/2025,232,1
d5d298ec-ffb6-49d9-9889-eecb6bf4a181,20b72583-e133-4afb-aee1-18712ab46e1d,CREDIT_CARD,9713689209401558,7/2025,122,1
2206d522-f8e6-4db3-a67a-69224b154a29,cef8cc4f-48c2-4132-868b-7a0bb37c0869,VOUCHER,3196963978524328,10/2025,572,1
ac9f1578-4ea8-4f2a-840f-883d78bf7693,151d7b80-f980-4a15-a642-c057ba68cd77,CREDIT_CARD,3706517097212331,12/2025,489,1
afbd3021-1065-477a-aafe-e80ab177b5f5,f7a55f54-cf43-4114-bf45-74ae604a409c,CREDIT_CARD,3526209478785100,12/2025,173,0
49088178-a007-40a6-ae0d-eb2fa5bace94,7aec9dcf-d219-42b8-a37e-4a5d825fd295,DEBIT_CARD,1842187183437515,6/2025,770,1
d708c202-d535-405f-936c-146416cb107a,5a373b7b-b950-4131-9230-9cf16cf4d608,DEBIT_CARD,9189608376571724,10/2025,669,1
a2f4cb13-382b-4755-898a-e0948657b015,cbb2736c-5bdc-4254-a5cf-f76d079e7d39,DEBIT_CARD,8126187577668609,3/2025,167,1
4a30bfa2-8ad4-48b9-84b5-3416570635d1,cba49f5d-2dce-460e-98c0-21a460b5d117,CREDIT_CARD,8461023445984798,2/2025,738,1
3992e0d9-08bc-4835-affc-85eb0c26c58e,b5f7a29f-539d-4101-8852-a2b49fb3d8cd,VOUCHER,3041136362749529,9/2025,166,1
1be6d733-443a-415f-8933-765480d56490,e16ed17f-4bcc-4404-a0f2-7e362d803fb1,DEBIT_CARD,8490095178825646,3/2025,795,1
96fde6ca-fc45-4272-85ad-b1536064529b,b7a27f15-fe81-45d2-b54e-417f4ffd23a7,CREDIT_CARD,1798790367212631,9/2025,321,0
77be3c79-2499-4f92-93cd-27e5e8c0d080,8c9fe49c-112d-4b08-be14-978e39537631,CREDIT_CARD,2600762928377976,2/2025,198,1
f390c131-859b-491b-9808-f22d988eeba8,7198ab96-3aa4-4809-824d-808cf8dc0ef6,VOUCHER,6604376098291310,2/2025,669,1
